MiesiÄ…c,vacation: (Polska)
2004-01,0
2004-02,87
2004-03,93
2004-04,100
2004-05,63
2004-06,0
2004-07,72
2004-08,69
2004-09,0
2004-10,0
2004-11,53
2004-12,52
2005-01,60
2005-02,47
2005-03,0
2005-04,46
2005-05,55
2005-06,61
2005-07,73
2005-08,74
2005-09,59
2005-10,31
2005-11,0
2005-12,25
2006-01,33
2006-02,42
2006-03,51
2006-04,62
2006-05,60
2006-06,59
2006-07,68
2006-08,65
2006-09,58
2006-10,45
2006-11,46
2006-12,55
2007-01,67
2007-02,82
2007-03,70
2007-04,74
2007-05,70
2007-06,75
2007-07,82
2007-08,56
2007-09,47
2007-10,42
2007-11,36
2007-12,40
2008-01,53
2008-02,49
2008-03,43
2008-04,46
2008-05,43
2008-06,51
2008-07,69
2008-08,51
2008-09,39
2008-10,46
2008-11,40
2008-12,32
2009-01,37
2009-02,31
2009-03,19
2009-04,23
2009-05,26
2009-06,38
2009-07,54
2009-08,45
2009-09,26
2009-10,23
2009-11,29
2009-12,31
2010-01,30
2010-02,35
2010-03,36
2010-04,29
2010-05,33
2010-06,48
2010-07,54
2010-08,44
2010-09,33
2010-10,25
2010-11,29
2010-12,34
2011-01,34
2011-02,28
2011-03,27
2011-04,30
2011-05,31
2011-06,51
2011-07,66
2011-08,52
2011-09,29
2011-10,27
2011-11,27
2011-12,41
2012-01,28
2012-02,29
2012-03,27
2012-04,30
2012-05,71
2012-06,51
2012-07,57
2012-08,42
2012-09,32
2012-10,28
2012-11,23
2012-12,31
2013-01,30
2013-02,29
2013-03,25
2013-04,29
2013-05,28
2013-06,34
2013-07,48
2013-08,40
2013-09,24
2013-10,22
2013-11,22
2013-12,36
2014-01,29
2014-02,25
2014-03,26
2014-04,25
2014-05,29
2014-06,39
2014-07,46
2014-08,41
2014-09,30
2014-10,26
2014-11,29
2014-12,35
2015-01,28
2015-02,27
2015-03,25
2015-04,29
2015-05,42
2015-06,48
2015-07,55
2015-08,51
2015-09,67
2015-10,60
2015-11,51
2015-12,68
2016-01,46
2016-02,33
2016-03,35
2016-04,33
2016-05,35
2016-06,50
2016-07,59
2016-08,60
2016-09,37
2016-10,32
2016-11,26
2016-12,44
2017-01,34
2017-02,31
2017-03,27
2017-04,27
2017-05,40
2017-06,40
2017-07,48
2017-08,40
2017-09,30
2017-10,24
2017-11,23
2017-12,35
2018-01,33
2018-02,26
2018-03,30
2018-04,44
2018-05,38
2018-06,48
2018-07,49
2018-08,50
2018-09,41
2018-10,33
2018-11,27
2018-12,39
2019-01,39
2019-02,38
2019-03,36
2019-04,40
2019-05,40
2019-06,56
2019-07,60
2019-08,60
2019-09,41
2019-10,31
2019-11,39
2019-12,43
2020-01,39
2020-02,38
2020-03,35
2020-04,29
2020-05,32
2020-06,44
2020-07,52
2020-08,51
2020-09,36
2020-10,26
2020-11,26
2020-12,33
2021-01,31
2021-02,38
2021-03,32
2021-04,37
2021-05,46
2021-06,56
2021-07,71
2021-08,66
2021-09,48
2021-10,35
2021-11,38
2021-12,63
2022-01,60
2022-02,51
2022-03,41
2022-04,50
2022-05,55
2022-06,71
2022-07,76
2022-08,76
2022-09,51
2022-10,38
2022-11,41
2022-12,49
2023-01,51
2023-02,39
2023-03,53
2023-04,54
2023-05,57
2023-06,66
2023-07,77
2023-08,74
2023-09,62
2023-10,43
2023-11,44
2023-12,58
2024-01,55
2024-02,64
2024-03,65
