MiesiÄ…c,vacation: (Stany Zjednoczone)
2004-01,98
2004-02,86
2004-03,82
2004-04,77
2004-05,81
2004-06,95
2004-07,96
2004-08,74
2004-09,58
2004-10,59
2004-11,60
2004-12,65
2005-01,100
2005-02,90
2005-03,90
2005-04,75
2005-05,77
2005-06,94
2005-07,88
2005-08,71
2005-09,53
2005-10,51
2005-11,55
2005-12,56
2006-01,85
2006-02,78
2006-03,76
2006-04,69
2006-05,74
2006-06,86
2006-07,89
2006-08,66
2006-09,55
2006-10,53
2006-11,53
2006-12,59
2007-01,88
2007-02,78
2007-03,75
2007-04,72
2007-05,75
2007-06,86
2007-07,85
2007-08,68
2007-09,54
2007-10,51
2007-11,51
2007-12,53
2008-01,86
2008-02,74
2008-03,75
2008-04,65
2008-05,72
2008-06,79
2008-07,77
2008-08,61
2008-09,46
2008-10,44
2008-11,46
2008-12,51
2009-01,73
2009-02,67
2009-03,70
2009-04,63
2009-05,65
2009-06,78
2009-07,79
2009-08,63
2009-09,46
2009-10,45
2009-11,45
2009-12,54
2010-01,71
2010-02,68
2010-03,69
2010-04,59
2010-05,69
2010-06,78
2010-07,67
2010-08,53
2010-09,39
2010-10,36
2010-11,38
2010-12,45
2011-01,67
2011-02,60
2011-03,60
2011-04,55
2011-05,58
2011-06,77
2011-07,68
2011-08,55
2011-09,42
2011-10,37
2011-11,39
2011-12,48
2012-01,60
2012-02,57
2012-03,54
2012-04,54
2012-05,54
2012-06,63
2012-07,61
2012-08,47
2012-09,38
2012-10,34
2012-11,35
2012-12,48
2013-01,59
2013-02,53
2013-03,53
2013-04,48
2013-05,51
2013-06,60
2013-07,60
2013-08,47
2013-09,36
2013-10,35
2013-11,36
2013-12,49
2014-01,58
2014-02,55
2014-03,55
2014-04,48
2014-05,52
2014-06,61
2014-07,60
2014-08,48
2014-09,37
2014-10,34
2014-11,35
2014-12,50
2015-01,52
2015-02,51
2015-03,53
2015-04,49
2015-05,52
2015-06,63
2015-07,72
2015-08,66
2015-09,43
2015-10,40
2015-11,44
2015-12,54
2016-01,56
2016-02,51
2016-03,54
2016-04,50
2016-05,54
2016-06,61
2016-07,61
2016-08,48
2016-09,37
2016-10,38
2016-11,37
2016-12,59
2017-01,57
2017-02,54
2017-03,53
2017-04,51
2017-05,53
2017-06,61
2017-07,61
2017-08,46
2017-09,36
2017-10,37
2017-11,40
2017-12,55
2018-01,53
2018-02,52
2018-03,52
2018-04,53
2018-05,51
2018-06,60
2018-07,59
2018-08,48
2018-09,38
2018-10,34
2018-11,40
2018-12,54
2019-01,52
2019-02,49
2019-03,53
2019-04,44
2019-05,45
2019-06,56
2019-07,53
2019-08,43
2019-09,38
2019-10,35
2019-11,42
2019-12,59
2020-01,53
2020-02,49
2020-03,34
2020-04,25
2020-05,40
2020-06,55
2020-07,47
2020-08,42
2020-09,34
2020-10,33
2020-11,37
2020-12,53
2021-01,42
2021-02,45
2021-03,53
2021-04,56
2021-05,58
2021-06,60
2021-07,57
2021-08,47
2021-09,41
2021-10,40
2021-11,45
2021-12,59
2022-01,51
2022-02,52
2022-03,49
2022-04,47
2022-05,48
2022-06,55
2022-07,55
2022-08,47
2022-09,37
2022-10,35
2022-11,40
2022-12,57
2023-01,49
2023-02,43
2023-03,45
2023-04,40
2023-05,43
2023-06,49
2023-07,50
2023-08,46
2023-09,34
2023-10,31
2023-11,39
2023-12,53
2024-01,42
2024-02,41
2024-03,41
